chr17	23773962	23774645	1
chr1	154033735	154034801	1
chr11	75925691	75927350	1
chr6	124964605	124966195	9
chr6	39263595	39265341	3
chr9	63981810	63985181	6
chr5	125265957	125269368	3
chr15	27501700	27504709	1
chr7	105751487	105752723	1
chr4	129234472	129234801	2
chr8	35205208	35206843	2
chr2	27423384	27428720	8
chr15	64332771	64333119	2
chr11	103758705	103759167	1
chr9	71379706	71380477	1
chr11	70804896	70805770	4
chr10	59919228	59921930	4
chr19	24319777	24322541	3
chr11	70017290	70022230	7
chr2	93198422	93204606	7
chr14	34538739	34593970	45
chr7	44886089	44889464	2
chr3	69205487	69206106	1
chr14	47007308	47007734	1
chrX	48433476	48433963	2
chr3	52000044	52000532	3
chr2	157027281	157028027	2
chr2	125263030	125264305	1
chr4	45107088	45108484	1
chr6	87874928	87876669	2
chr17	34653631	34657883	8
chr7	140950604	140956978	7
chr12	3234420	3237521	14
chr6	135362159	135366189	5
chr7	142469976	142489232	20
chr6	113237225	113238796	1
chr2	29059814	29061009	4
chr11	59804633	59805113	1
chr17	6106025	6108706	4
chr10	78243772	78245599	3
chr19	5608792	5610877	4
chr8	105880309	105881541	2
chr19	10894493	10897944	4
chr4	155829853	155834616	6
chr9	45983508	45985666	4
chr5	132633268	132634081	3
chr1	64875572	64876728	2
chr14	50998253	50998894	3
chr8	126757742	126758858	2
chr19	4614320	4616477	2
chr15	98714122	98714813	3
chr6	38531096	38531950	1
chr5	36829752	36831001	4
chr15	78317319	78318167	2
chr6	30354790	30358369	3
chr2	30250727	30253054	2
chr11	50323821	50326557	3
chr1	36554114	36561687	12
chr11	106500153	106503663	3
chr11	5095751	5101846	5
chr13	37481441	37483770	2
chr10	39518864	39519477	1
chr11	82973857	82974315	2
chr6	30652586	30653307	2
chr1	75392710	75394383	2
chr4	125114500	125118408	4
chr19	10289699	10290968	3
chr11	55448864	55450753	6
chr13	9180174	9182341	2
chr7	64057154	64058844	5
chr18	80623200	80623483	2
chr15	78868270	78870249	2
chr3	53058394	53059200	3
chr7	133052558	133053479	4
chr18	36739539	36742637	4
chr8	122110246	122112660	2
chr19	7204157	7207419	3
chr6	38839939	38840542	1
chr1	72751283	72751868	1
chr9	111571698	111571962	2
chr6	145372101	145372483	2
chr4	135312089	135315668	4
chr10	81404389	81422965	23
chr14	73142241	73144325	4
chr12	99338757	99339293	1
chr1	133023868	133026339	3
chr4	116174413	116178292	6
chr2	32708398	32715639	11
chr17	70988324	71004580	17
chr1	91927817	91929315	1
chr4	105316433	105317186	2
chr16	4550937	4551649	1
chr12	83038239	83039271	3
chr7	67461227	67464953	4
chr7	141454319	141478847	24
chr11	102900686	102901487	3
chr4	55470853	55471487	1
chr15	34678258	34678934	2
chr1	91249515	91252496	3
chr15	31599842	31603278	1
chr8	70536829	70541958	6
chr1	74020085	74037795	16
chr10	18545319	18546381	2
chr1	193261829	193262638	1
chr1	24099253	24100988	3
chr3	30917165	30917526	2
chr1	181860474	181861236	1
chr11	19978992	19980527	2
chr15	82145735	82148451	5
chr18	32537876	32539629	5
chr12	55835752	55837356	1
chr12	111943312	111947377	10
chr12	67220559	67222916	8
chr10	76256998	76261067	5
chr8	39005426	39006738	4
chr12	77056585	77057267	1
chr17	9913455	9914482	1
chr9	69452940	69460079	11
chr11	117821523	117831215	11
chr1	75358816	75363626	3
chr9	40780026	40785043	11
chr12	112670292	112676243	8
chr11	70644532	70665192	34
chr4	119738635	119739032	2
chr7	116200753	116201411	1
chrX	53061378	53061733	1
chr2	61344798	61345289	2
chr14	25342735	25343606	3
chr7	31104902	31106465	2
chr6	31075138	31080184	3
chr15	72917427	72917859	1
chr2	27381298	27382204	3
chr18	25694023	25694606	1
chr13	99475260	99476159	2
chr9	79951470	79953006	4
chr19	46639278	46648985	10
chr9	44965001	44967274	2
chr6	29609020	29610390	4
chr14	21833422	21833741	1
chr3	146273442	146273843	1
chr6	55337539	55339743	2
chr13	99299270	99299671	2
chr9	105052963	105053910	1
chr2	90903612	90905306	3
chr5	145280150	145281318	2
chr3	100161775	100163210	3
chr19	6906270	6916785	13
chr2	164760447	164762049	3
chr12	31154423	31155262	3
chr7	134673690	134674694	1
chr5	150592494	150595752	3
chr4	136281599	136286979	7
